SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,AOT380,AOT440,AOT675,AOT870,AOT1020,WATER
31487,97,26/02/13,15:44:11,-39.421,-71.941,2830.00,550.00,65.78,2.27,0.990,11.10,818.96,521.13,691.12,437.97,668.53,0.01,0.01,0.01,0.01,0.01,0.1681,0.1980,0.1920,0.2054,0.2397,Na  
31487,98,26/02/13,15:44:25,-39.421,-71.941,2830.00,550.00,65.79,2.27,0.990,11.10,789.17,492.69,655.06,410.36,627.58,0.00,0.00,0.01,0.00,0.01,0.1844,0.2227,0.2156,0.2341,0.2676,Na  
31487,99,26/02/13,15:44:40,-39.421,-71.941,2830.00,550.00,65.80,2.27,0.990,11.10,718.85,446.27,610.64,379.69,581.76,0.01,0.01,0.00,0.00,0.01,0.2254,0.2662,0.2465,0.2683,0.3009,Na  
31487,100,26/02/13,15:44:55,-39.421,-71.941,2830.00,550.00,65.81,2.27,0.990,11.10,665.15,405.61,566.57,347.86,534.07,0.00,0.01,0.00,0.01,0.01,0.2595,0.3083,0.2794,0.3068,0.3385,Na  
31487,101,26/02/13,15:45:10,-39.421,-71.941,2830.00,550.00,65.82,2.27,0.990,11.10,589.22,354.51,514.77,312.82,481.88,0.01,0.01,0.01,0.01,0.01,0.3128,0.3675,0.3216,0.3535,0.3838,Na  
31487,102,26/02/13,15:45:25,-39.421,-71.941,2830.00,550.00,65.83,2.27,0.990,11.10,953.98,582.25,761.88,461.04,704.36,0.07,0.07,0.04,0.04,0.03,0.1005,0.1489,0.1489,0.1826,0.2165,Na  
31487,103,26/02/13,15:45:39,-39.421,-71.941,2830.00,550.00,65.84,2.27,0.990,11.10,847.09,506.39,683.52,410.16,631.03,0.02,0.01,0.00,0.01,0.01,0.1528,0.2103,0.1966,0.2341,0.2649,Na  
31487,104,26/02/13,15:45:54,-39.421,-71.941,2830.00,550.00,65.85,2.27,0.990,11.10,802.54,466.66,637.19,378.63,583.96,0.01,0.01,0.01,0.01,0.01,0.1765,0.2462,0.2275,0.2692,0.2990,Na  
31487,105,26/02/13,15:46:10,-39.421,-71.941,2830.00,550.00,65.86,2.27,0.990,11.10,626.02,343.87,503.66,293.55,455.38,0.02,0.02,0.01,0.01,0.01,0.2858,0.3805,0.3310,0.3812,0.4084,Na  
31487,106,26/02/13,15:46:25,-39.421,-71.941,2830.00,550.00,65.87,2.27,0.990,11.10,569.62,303.68,455.96,262.95,406.95,0.01,0.01,0.01,0.01,0.01,0.3272,0.4351,0.3747,0.4296,0.4578,Na  
31487,107,26/02/13,15:46:40,-39.421,-71.941,2830.00,550.00,65.88,2.27,0.990,11.10,537.59,273.52,414.18,235.97,364.25,0.01,0.01,0.01,0.01,0.01,0.3526,0.4810,0.4169,0.4771,0.5065,Na  
31487,108,26/02/13,15:46:54,-39.421,-71.941,2830.00,550.00,65.89,2.27,0.990,11.20,477.96,236.04,370.29,209.12,320.79,0.01,0.01,0.01,0.01,0.01,0.4042,0.5458,0.4661,0.5302,0.5623,Na  
31487,109,26/02/13,15:47:11,-39.421,-71.941,2830.00,550.00,65.90,2.27,0.990,11.20,426.58,203.36,329.00,183.73,279.46,0.01,0.01,0.01,0.01,0.01,0.4541,0.6112,0.5180,0.5870,0.6228,Na  
