SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,0.38,0.44,0.675,0.87,1.02,WATER,,-0.967584026,-0.820980552,-0.393042588,-0.139262067,0.019802627,slope,intercept,alpha,beta
31487,53,3/25/13,20:17:23,10.017,-83.766,3308,723,39.67,1.298,0.996,20.3,99,329.49,331.32,684.91,530.52,857.72,0.041,0.022,0.006,0.004,0.005,1.095,0.747,0.348,0.21,0.225,Na  ,,0.090754363,-0.291690094,-1.055552799,-1.560647748,-1.491654877,-1.693453885,-1.641108268,1.693453885,0.193765179
31487,54,3/25/13,20:17:38,10.017,-83.766,3308,723,39.73,1.299,0.996,20.3,99,129.46,177.93,542.25,464.09,772.66,0.042,0.029,0.013,0.015,0.011,1.813,1.225,0.527,0.313,0.305,Na  ,,0.594982932,0.202940844,-0.64055473,-1.161552088,-1.187443502,-1.875786653,-1.301587315,1.875786653,0.272099542
31487,55,3/25/13,20:17:52,10.017,-83.766,3308,723,39.79,1.3,0.996,20.3,99,190.34,230.72,566.87,471.32,777.23,0.072,0.049,0.019,0.012,0.01,1.515,1.024,0.493,0.301,0.3,Na  ,,0.415415439,0.023716527,-0.707246105,-1.200645014,-1.203972804,-1.695494593,-1.31483559,1.695494593,0.268518467
31487,56,3/25/13,20:18:09,10.017,-83.766,3308,723,39.85,1.301,0.996,20.3,99,388.65,373.38,675.58,517.93,834.71,0.068,0.031,0.056,0.029,0.028,0.964,0.653,0.358,0.228,0.245,Na  ,,-0.036663984,-0.42617815,-1.027222293,-1.47840965,-1.406497068,-1.442126566,-1.538680086,1.442126566,0.214664253
31487,57,3/25/13,20:18:24,10.017,-83.766,3308,723,39.91,1.303,0.996,20.3,99,234.99,251.92,643.99,492.6,804.62,0.136,0.09,0.026,0.012,0.008,1.349,0.954,0.394,0.267,0.273,Na  ,,0.299363577,-0.047091608,-0.93140437,-1.320506621,-1.298283484,-1.715302136,-1.448989394,1.715302136,0.234807466
31487,58,3/25/13,20:18:38,10.017,-83.766,3308,723,39.97,1.304,0.996,20.4,99,369.67,341.84,711.95,520.62,836.3,0.086,0.053,0.014,0.007,0.004,1.001,0.719,0.317,0.224,0.243,Na  ,,0.0009995,-0.329893921,-1.148853505,-1.496109227,-1.414693836,-1.540857655,-1.586833417,1.540857655,0.204572383
31487,59,3/25/13,20:18:53,10.017,-83.766,3308,723,40.03,1.305,0.996,20.4,99,301.18,299.21,682.92,512.98,835.29,0.055,0.036,0.012,0.01,0.011,1.156,0.82,0.348,0.235,0.244,Na  ,,0.14496577,-0.198450939,-1.055552799,-1.448169765,-1.410587054,-1.674335208,-1.564110324,1.674335208,0.209274116
31487,60,3/25/13,20:19:09,10.017,-83.766,3308,723,40.1,1.306,0.996,20.4,99,215.12,242.07,654.55,504.08,826.88,0.047,0.026,0.019,0.022,0.025,1.413,0.982,0.38,0.248,0.251,Na  ,,0.345715104,-0.018163971,-0.967584026,-1.394326533,-1.38230234,-1.853695905,-1.536427902,1.853695905,0.215148261
31487,61,3/25/13,20:19:24,10.017,-83.766,3308,723,40.16,1.307,0.996,20.4,99,276.32,290.13,677.86,526.72,858.74,0.038,0.027,0.009,0.005,0.005,1.22,0.842,0.353,0.214,0.222,Na  ,,0.198850859,-0.171975265,-1.041287222,-1.541779264,-1.505077897,-1.82779068,-1.653427377,1.82779068,0.191392808
31487,62,3/25/13,20:19:38,10.017,-83.766,3308,723,40.21,1.308,0.996,20.4,99,304.65,310,681.04,526.48,855.99,0.016,0.011,0.007,0.005,0.004,1.144,0.791,0.349,0.215,0.224,Na  ,,0.134530893,-0.234457311,-1.052683357,-1.537117251,-1.496109227,-1.744799368,-1.640147163,1.744799368,0.193951498
